TITLE = "Equilibrium concentrations vs Temperature"
VARIABLES = "T", "N2", "O2", "NO", "N", "O"
ZONE T="Mass Fractions", I=194, F=POINT
5.00000000e+02 7.57191524e-01 2.42808475e-01 5.58466922e-10 0.00000000e+00 4.33820740e-159
6.00000000e+02 7.57191540e-01 2.42808439e-01 2.17467069e-08 0.00000000e+00 3.81953758e-108
7.00000000e+02 7.57191424e-01 2.42808279e-01 2.97575566e-07 1.23040690e-260 1.43669051e-72
8.00000000e+02 7.57190573e-01 2.42807309e-01 2.11804279e-06 1.96975557e-208 3.63931992e-46
9.00000000e+02 7.57187011e-01 2.42803238e-01 9.75055560e-06 2.13375800e-168 2.06731951e-26
1.00000000e+03 7.57176116e-01 2.42790797e-01 3.30864472e-05 3.45628417e-136 5.54749819e-12
1.10000000e+03 7.57149645e-01 2.42760561e-01 8.97934450e-05 4.58356825e-110 6.43202865e-10
1.20000000e+03 7.57095135e-01 2.42698300e-01 2.06558420e-04 2.72214034e-88 6.45801743e-09
1.30000000e+03 7.56996432e-01 2.42585528e-01 4.17994966e-04 5.35976683e-70 4.55720864e-08
1.40000000e+03 7.56834562e-01 2.42400458e-01 7.64736958e-04 2.58904769e-54 2.43678110e-07
1.50000000e+03 7.56589121e-01 2.42119308e-01 1.29052719e-03 3.07206696e-41 1.04331887e-06
1.60000000e+03 7.56239648e-01 2.41717437e-01 2.03918754e-03 6.62310645e-30 3.72811132e-06
1.70000000e+03 7.55766987e-01 2.41169730e-01 3.05180640e-03 2.59668961e-20 1.14758300e-05
1.80000000e+03 7.55154196e-01 2.40450069e-01 4.36454468e-03 1.59631720e-12 3.11901292e-05
1.90000000e+03 7.54387550e-01 2.39529328e-01 6.00680352e-03 8.38354849e-11 7.63183895e-05
2.00000000e+03 7.53457081e-01 2.38372176e-01 7.99999133e-03 3.82571665e-10 1.70751078e-04
2.10000000e+03 7.52356911e-01 2.36932663e-01 1.03566967e-02 1.51174804e-09 3.53727607e-04
2.20000000e+03 7.51085628e-01 2.35148969e-01 1.30799377e-02 5.27497833e-09 6.85460051e-04
2.30000000e+03 7.49646651e-01 2.32937999e-01 1.61623750e-02 1.65179795e-08 1.25295853e-03
2.40000000e+03 7.48048706e-01 2.30190658e-01 1.95852894e-02 4.70481604e-08 2.17529902e-03
2.50000000e+03 7.46306456e-01 2.26768894e-01 2.33172070e-02 1.23282046e-07 3.60731956e-03
2.60000000e+03 7.44441300e-01 2.22505768e-01 2.73121600e-02 3.00052816e-07 5.74047160e-03
2.70000000e+03 7.42482280e-01 2.17210022e-01 3.15077047e-02 6.83899731e-07 8.79930993e-03
2.80000000e+03 7.40466940e-01 2.10676635e-01 3.58229824e-02 1.47006759e-06 1.30319730e-02
2.90000000e+03 7.38441941e-01 2.02704677e-01 4.01573032e-02 2.99826323e-06 1.86930799e-02
3.00000000e+03 7.36463082e-01 1.93123138e-01 4.43899226e-02 5.83285726e-06 2.60180250e-02
3.10000000e+03 7.34594334e-01 1.81824101e-01 4.83818668e-02 1.08736043e-05 3.51888248e-02
3.20000000e+03 7.32905444e-01 1.68800478e-01 5.19807643e-02 1.95030502e-05 4.62938111e-02
3.30000000e+03 7.31467672e-01 1.54182428e-01 5.50295650e-02 3.37765763e-05 5.92865579e-02
3.40000000e+03 7.30347445e-01 1.38263258e-01 5.73796306e-02 5.66603828e-05 7.39530064e-02
3.50000000e+03 7.29598149e-01 1.21502847e-01 5.89076861e-02 9.23217957e-05 8.98989957e-02
3.60000000e+03 7.29251026e-01 1.04497927e-01 5.95345930e-02 1.46474270e-04 1.06569979e-01
3.70000000e+03 7.29307020e-01 8.79151607e-02 5.92419511e-02 2.26776057e-04 1.23309092e-01
3.80000000e+03 7.29732285e-01 7.23951235e-02 5.80807517e-02 3.43281050e-04 1.39448559e-01
3.90000000e+03 7.30459451e-01 5.84530757e-02 5.61676065e-02 5.08932385e-04 1.54410934e-01
4.00000000e+03 7.31395287e-01 4.64073526e-02 5.36672023e-02 7.40091418e-04 1.67790067e-01
4.10000000e+03 7.32432622e-01 3.63587316e-02 5.07655610e-02 1.05709121e-03 1.79385994e-01
