T,P,N2,O2,NO,N,O,NO+,e-
300.000000,101325.000000,7.80800000e-01,2.19200000e-01,2.35189547e-16,4.44382413e-80,2.17935908e-41,1.24213594e-86,1.24213594e-86
308.000000,101325.000000,7.80800000e-01,2.19200000e-01,6.08412069e-16,6.10303500e-78,2.91996317e-40,2.16194431e-84,2.16194431e-84
316.000000,101325.000000,7.80800000e-01,2.19200000e-01,1.50001963e-15,6.53590243e-76,3.43245962e-39,2.90016411e-82,2.90016411e-82
324.000000,101325.000000,7.80800000e-01,2.19200000e-01,3.53720694e-15,5.55946192e-74,3.57448706e-38,3.05683399e-80,3.05683399e-80
332.000000,101325.000000,7.80800000e-01,2.19200000e-01,8.00358786e-15,3.81903576e-72,3.32658420e-37,2.57605223e-78,2.57605223e-78
340.000000,101325.000000,7.80800000e-01,2.19200000e-01,1.74274849e-14,2.15087327e-70,2.78868303e-36,1.76328272e-76,1.76328272e-76
348.000000,101325.000000,7.80800000e-01,2.19200000e-01,3.66150206e-14,1.00684045e-68,2.12099210e-35,9.94477670e-75,9.94477670e-75
356.000000,101325.000000,7.80800000e-01,2.19200000e-01,7.44053357e-14,3.96644702e-67,1.47319819e-34,4.68205307e-73,4.68205307e-73
364.000000,101325.000000,7.80800000e-01,2.19200000e-01,1.46562523e-13,1.33006476e-65,9.40067098e-34,1.86213323e-71,1.86213323e-71
372.000000,101325.000000,7.80800000e-01,2.19200000e-01,2.80406256e-13,3.83605334e-64,5.54118389e-33,6.32468903e-70,6.32468903e-70
380.000000,101325.000000,7.80800000e-01,2.19200000e-01,5.22031711e-13,9.60656431e-63,3.03223886e-32,1.85287105e-68,1.85287105e-68
388.000000,101325.000000,7.80800000e-01,2.19200000e-01,9.47290565e-13,2.10723747e-61,1.54751064e-31,4.72493710e-67,4.72493710e-67
396.000000,101325.000000,7.80800000e-01,2.19200000e-01,1.67810930e-12,4.08136033e-60,7.39681446e-31,1.05764164e-65,1.05764164e-65
404.000000,101325.000000,7.80800000e-01,2.19200000e-01,2.90621841e-12,7.03154480e-59,3.32417000e-30,2.09426150e-64,2.09426150e-64
412.000000,101325.000000,7.80800000e-01,2.19200000e-01,4.92696368e-12,1.08495093e-57,1.40962920e-29,3.69462767e-63,3.69462767e-63
