T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, NO+, e-
1193.55, 0.7571, 0.242703, 0.000196607, 2.05221e-296, 9.73721e-09, 0, 2.85575e-255, 0, 0, 3.37188e-19, 0
1129.88, 0.757137, 0.242746, 0.000116928, 0, 2.37352e-09, 0, 1.42327e-219, 0, 0, 3.06561e-15, 0
1100.65, 0.75715, 0.24276, 9.02886e-05, 0, 1.17573e-09, 0, 1.01027e-204, 0, 0, 4.44446e-14, 0
1099.55, 0.75715, 0.242761, 8.93899e-05, 6.32083e-284, 1.1442e-09, 0, 7.33318e-122, 0, 0, 3.34771e-10, 0
1121.54, 0.757141, 0.24275, 0.000108844, 7.65738e-311, 1.95372e-09, 0, 1.28399e-165, 0, 0, 1.13937e-12, 0
1162.08, 0.75712, 0.242727, 0.000153222, 6.91312e-296, 4.94684e-09, 0, 7.74968e-180, 0, 0, 5.0795e-14, 0
1217.19, 0.757082, 0.242683, 0.000235133, 6.05597e-264, 1.58303e-08, 0, 1.0117e-183, 0, 0, 4.82312e-15, 0
1283.29, 0.757017, 0.242609, 0.00037448, 2.92653e-216, 5.60123e-08, 0, 1.89167e-171, 0, 0, 3.07898e-15, 0
1357.21, 0.756913, 0.24249, 0.000597157, 1.07977e-176, 1.98787e-07, 0, 5.82096e-168, 0, 0, 7.30581e-16, 0
1436.21, 0.756756, 0.242311, 0.000932282, 1.41415e-132, 6.65847e-07, 0, 2.84989e-150, 0, 0, 1.38012e-15, 0
1517.99, 0.756534, 0.242056, 0.00140778, 1.57315e-98, 2.03706e-06, 0, 3.76769e-141, 0, 0, 1.06839e-15, 0
1600.72, 0.756237, 0.241712, 0.00204578, 8.3242e-70, 5.61559e-06, 0, 5.76157e-133, 0, 0, 9.32851e-16, 0
1682.93, 0.755857, 0.24127, 0.00285908, 6.44257e-46, 1.39262e-05, 0, 1.96929e-125, 0, 0, 9.18569e-16, 0
1763.53, 0.755395, 0.240725, 0.00384946, 2.65989e-26, 3.12211e-05, 0, 2.22606e-118, 0, 0, 1.01311e-15, 0
1841.67, 0.754854, 0.240075, 0.00500777, 2.15746e-11, 6.37851e-05, 0, 1.12661e-111, 0, 0, 1.23934e-15, 0
1916.71, 0.754244, 0.239321, 0.0063152, 1.49085e-10, 0.000119826, 0, 2.73241e-105, 0, 0, 1.66394e-15, 0
1988.18, 0.753576, 0.23847, 0.00774539, 4.31808e-10, 0.000208829, 0, 1.67303e-104, 0, 0, 8.92942e-16, 0
2055.72, 0.752866, 0.237527, 0.00926692, 1.10183e-09, 0.000340435, 0, 1.46379e-98, 0, 0, 1.4023e-15, 0
2119.08, 0.752128, 0.236502, 0.0108462, 2.51253e-09, 0.000523066, 4.89392e-318, 6.09907e-98, 0, 8.60519e-310, 8.65017e-16, 3.95253e-323
2178.15, 0.75138, 0.235407, 0.0124502, 5.18749e-09, 0.000762707, 3.73139e-299, 2.23594e-92, 0, 2.4728e-285, 1.53717e-15, 2.45008e-287
2232.93, 0.750632, 0.234254, 0.0140512, 9.82037e-09, 0.0010625, 1.63027e-269, 4.71675e-82, 0, 1.79171e-252, 7.81553e-15, 4.1387e-256
2283.51, 0.749899, 0.233058, 0.015622, 1.72166e-08, 0.00142155, 7.52598e-265, 8.95258e-82, 0, 2.04863e-243, 5.62446e-15, 9.34935e-231
2330.09, 0.749187, 0.231829, 0.0171463, 2.82554e-08, 0.00183708, 2.46169e-249, 8.65309e-77, 0, 1.44456e-225, 1.14383e-14, 6.87889e-209
2372.98, 0.748503, 0.23058, 0.0186129, 4.38193e-08, 0.00230449, 1.04077e-245, 1.53237e-76, 0, 4.63074e-219, 8.84816e-15, 1.56172e-189
2412.52, 0.747847, 0.229318, 0.0200163, 6.47553e-08, 0.00281852, 1.88273e-242, 2.36019e-76, 0, 1.83419e-213, 7.04184e-15, 2.73966e-172
2449.06, 0.747223, 0.228049, 0.0213549, 9.18566e-08, 0.00337396, 1.64322e-239, 3.45772e-76, 0, 1.3974e-208, 5.74076e-15, 7.73348e-157
2482.96, 0.746626, 0.226775, 0.0226319, 1.25914e-07, 0.00396694, 6.27933e-205, 1.22099e-62, 0, 3.26553e-176, 9.59314e-14, 3.24694e-148
2514.52, 0.746059, 0.225502, 0.0238469, 1.67522e-07, 0.00459172, 7.74181e-203, 1.39867e-62, 0, 8.37043e-173, 8.12015e-14, 1.95557e-136
2544.04, 0.745518, 0.22423, 0.0250056, 2.17374e-07, 0.00524565, 6.56183e-201, 1.59441e-62, 0, 9.47633e-170, 6.97362e-14, 1.12482e-125
2571.75, 0.745002, 0.22296, 0.0261121, 2.761e-07, 0.00592597, 3.98203e-199, 1.79121e-62, 0, 5.19194e-167, 6.06403e-14, 8.68056e-116
2597.89, 0.744507, 0.221691, 0.0271705, 3.44306e-07, 0.00663032, 1.80981e-197, 1.98708e-62, 0, 1.57532e-164, 5.32985e-14, 1.18851e-106
