T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, NO+, e-
1193.55, 0.780705, 0.219105, 0.000189261, 4.23239e-296, 1.75805e-08, 0, 2.57796e-255, 0, 0, 3.24616e-19, 0
1129.88, 0.780744, 0.219144, 0.000112559, 0, 4.28538e-09, 0, 1.28483e-219, 0, 0, 2.95131e-15, 0
1100.65, 0.780757, 0.219157, 8.69152e-05, 0, 2.12277e-09, 0, 9.12004e-205, 0, 0, 4.27875e-14, 0
1099.55, 0.780757, 0.219157, 8.60501e-05, 1.30358e-283, 2.06585e-09, 0, 6.61987e-122, 0, 0, 3.2229e-10, 0
1121.54, 0.780748, 0.219148, 0.000104778, 1.57922e-310, 3.52742e-09, 0, 1.1591e-165, 0, 0, 1.09689e-12, 0
1162.08, 0.780726, 0.219126, 0.000147497, 1.42573e-295, 8.93148e-09, 0, 6.99586e-180, 0, 0, 4.89012e-14, 0
1217.19, 0.780687, 0.219087, 0.000226347, 1.24896e-263, 2.85816e-08, 0, 9.13291e-184, 0, 0, 4.64329e-15, 0
1283.29, 0.78062, 0.21902, 0.000360488, 6.03555e-216, 1.0113e-07, 0, 1.70767e-171, 0, 0, 2.96419e-15, 0
1357.21, 0.780512, 0.218912, 0.000574845, 2.22686e-176, 3.58908e-07, 0, 5.25475e-168, 0, 0, 7.03341e-16, 0
1436.21, 0.780351, 0.218751, 0.000897449, 2.91647e-132, 1.20218e-06, 0, 2.57268e-150, 0, 0, 1.32866e-15, 0
1517.99, 0.780121, 0.21852, 0.00135518, 3.2444e-98, 3.6779e-06, 0, 3.4012e-141, 0, 0, 1.02856e-15, 0
1600.72, 0.779811, 0.218209, 0.00196934, 1.71674e-69, 1.01389e-05, 0, 5.20111e-133, 0, 0, 8.98067e-16, 0
1682.93, 0.779414, 0.217809, 0.00275222, 1.32867e-45, 2.51433e-05, 0, 1.77771e-125, 0, 0, 8.8431e-16, 0
1763.53, 0.778925, 0.217313, 0.00370553, 5.4855e-26, 5.63679e-05, 0, 2.00948e-118, 0, 0, 9.75309e-16, 0
1841.67, 0.778345, 0.21672, 0.00482039, 4.44919e-11, 0.000115157, 0, 1.01696e-111, 0, 0, 1.19306e-15, 0
1916.71, 0.777676, 0.216029, 0.0060786, 3.07433e-10, 0.000216321, 0, 2.46636e-105, 0, 0, 1.60173e-15, 0
1988.18, 0.776926, 0.215243, 0.0074546, 8.90376e-10, 0.00037697, 0, 1.51001e-104, 0, 0, 8.59488e-16, 0
