T,P,N2,O2,NO,N,O,N2+,O2+,N+,O+,NO+,e-
300.000000,101325.000000,0.75718747,0.24280772,0.00000024,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,0.00000000,0.00000453,0.00000000
309.850000,101325.000000,0.75718710,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000515,0.00000000
319.700000,101325.000000,0.75718706,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000519,0.00000000
329.550000,101325.000000,0.75718706,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000519,0.00000000
339.400000,101325.000000,0.75718708,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000517,0.00000000
349.250000,101325.000000,0.75718710,0.24280776,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000515,0.00000000
359.100000,101325.000000,0.75718706,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000519,0.00000000
368.950000,101325.000000,0.75718709,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000516,0.00000000
378.800000,101325.000000,0.75718711,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000514,0.00000000
388.650000,101325.000000,0.75718710,0.24280775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000515,0.00000000
398.500000,101325.000000,0.75718708,0.24280774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000518,0.00000000
408.350000,101325.000000,0.75718710,0.24280774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000516,0.00000000
418.200000,101325.000000,0.75718709,0.24280773,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000518,0.00000000
428.050000,101325.000000,0.75718374,0.24280701,0.00000047,0.00000000,0.00000002,0.00000000,0.00000006,0.00000000,0.00000000,0.00000871,0.00000000
