T [K],Y(N2),Y(O2),Y(NO),Y(N),Y(O)
300.00000000,0.75719094,0.24280887,0.00000019,0.00000000,0.00000000
309.85492746,0.75719036,0.24280937,0.00000026,0.00000000,0.00000001
319.70985493,0.75718987,0.24280985,0.00000027,0.00000000,0.00000001
329.56478239,0.75718949,0.24281030,0.00000021,0.00000000,0.00000000
339.41970985,0.75718910,0.24281068,0.00000021,0.00000000,0.00000000
349.27463732,0.75718876,0.24281101,0.00000022,0.00000000,0.00000000
359.12956478,0.75718855,0.24281128,0.00000017,0.00000000,0.00000000
368.98449225,0.75718833,0.24281148,0.00000018,0.00000000,0.00000000
378.83941971,0.75718817,0.24281165,0.00000019,0.00000000,0.00000000
388.69434717,0.75718804,0.24281177,0.00000019,0.00000000,0.00000000
398.54927464,0.75718794,0.24281186,0.00000020,0.00000000,0.00000000
408.40420210,0.75718788,0.24281191,0.00000021,0.00000000,0.00000000
418.25912956,0.75718785,0.24281193,0.00000021,0.00000000,0.00000000
428.11405703,0.75718785,0.24281193,0.00000022,0.00000000,0.00000000
437.96898449,0.75718786,0.24281191,0.00000023,0.00000000,0.00000000
447.82391196,0.75718790,0.24281186,0.00000024,0.00000000,0.00000000
457.67883942,0.75718796,0.24281180,0.00000025,0.00000000,0.00000000
467.53376688,0.75718791,0.24281177,0.00000031,0.00000000,0.00000001
477.38869435,0.75718793,0.24281175,0.00000032,0.00000000,0.00000001
487.24362181,0.75718796,0.24281170,0.00000033,0.00000000,0.00000001
497.09854927,0.75718801,0.24281163,0.00000034,0.00000000,0.00000001
506.95347674,0.75718808,0.24281156,0.00000035,0.00000000,0.00000001
516.80840420,0.75718803,0.24281152,0.00000044,0.00000000,0.00000002
526.66333167,0.75718805,0.24281148,0.00000045,0.00000000,0.00000002
536.51825913,0.75718810,0.24281142,0.00000046,0.00000000,0.00000002
546.37318659,0.75718815,0.24281135,0.00000048,0.00000000,0.00000002
556.22811406,0.75718808,0.24281130,0.00000057,0.00000000,0.00000004
566.08304152,0.75718811,0.24281126,0.00000058,0.00000000,0.00000004
575.93796898,0.75718815,0.24281121,0.00000060,0.00000000,0.00000005
585.79289645,0.75718820,0.24281114,0.00000061,0.00000000,0.00000005
595.64782391,0.75718827,0.24281106,0.00000063,0.00000000,0.00000005
605.50275138,0.75718834,0.24281096,0.00000065,0.00000000,0.00000005
615.35767884,0.75718829,0.24281087,0.00000074,0.00000000,0.00000010
625.21260630,0.75718834,0.24281080,0.00000076,0.00000000,0.00000010
635.06753377,0.75718841,0.24281072,0.00000077,0.00000000,0.00000010
644.92246123,0.75718848,0.24281062,0.00000079,0.00000000,0.00000011
654.77738869,0.75718856,0.24281052,0.00000081,0.00000000,0.00000011
664.63231616,0.75718866,0.24281040,0.00000082,0.00000000,0.00000012
674.48724362,0.75718876,0.24281028,0.00000084,0.00000000,0.00000012
684.34217109,0.75718886,0.24281015,0.00000086,0.00000000,0.00000012
694.19709855,0.75718897,0.24281002,0.00000088,0.00000000,0.00000013
704.05202601,0.75718908,0.24280988,0.00000090,0.00000000,0.00000013
713.90695348,0.75718920,0.24280973,0.00000092,0.00000000,0.00000014
723.76188094,0.75718932,0.24280958,0.00000095,0.00000000,0.00000015
733.61680840,0.75718944,0.24280943,0.00000097,0.00000000,0.00000015
743.47173587,0.75718957,0.24280928,0.00000099,0.00000000,0.00000016
753.32666333,0.75718961,0.24280910,0.00000103,0.00000001,0.00000025
763.18159080,0.75718974,0.24280895,0.00000104,0.00000001,0.00000026
773.03651826,0.75718987,0.24280879,0.00000107,0.00000001,0.00000026
782.89144572,0.75718999,0.24280862,0.00000111,0.00000001,0.00000027
792.74637319,0.75719009,0.24280845,0.00000117,0.00000001,0.00000028
802.60130065,0.75719019,0.24280827,0.00000124,0.00000001,0.00000029
812.45622811,0.75719027,0.24280808,0.00000134,0.00000001,0.00000030
822.31115558,0.75719034,0.24280787,0.00000147,0.00000001,0.00000031
832.16608304,0.75719040,0.24280766,0.00000162,0.00000001,0.00000032
842.02101051,0.75719043,0.24280743,0.00000180,0.00000001,0.00000033
851.87593797,0.75719045,0.24280718,0.00000201,0.00000001,0.00000034
861.73086543,0.75719045,0.24280692,0.00000227,0.00000001,0.00000035
871.58579290,0.75719042,0.24280663,0.00000257,0.00000001,0.00000037
881.44072036,0.75719036,0.24280632,0.00000293,0.00000001,0.00000038
891.29564782,0.75719027,0.24280597,0.00000335,0.00000001,0.00000040
901.15057529,0.75719015,0.24280559,0.00000384,0.00000001,0.00000041
911.00550275,0.75718998,0.24280516,0.00000442,0.00000001,0.00000043
920.86043022,0.75718977,0.24280469,0.00000509,0.00000001,0.00000045
930.71535768,0.75718776,0.24280299,0.00000898,0.00000000,0.00000028
940.57028514,0.75718696,0.24280200,0.00001062,0.00000000,0.00000043
950.42521261,0.75718562,0.24280048,0.00001347,0.00000000,0.00000043
960.28014007,0.75718455,0.24279914,0.00001581,0.00000000,0.00000050
970.13506753,0.75718343,0.24279770,0.00001831,0.00000000,0.00000056
979.98999500,0.75718190,0.24279585,0.00002161,0.00000000,0.00000064
989.84492246,0.75718033,0.24279390,0.00002497,0.00000000,0.00000080
999.69984992,0.75717869,0.24279180,0.00002847,0.00000000,0.00000104
1009.55477739,0.75717695,0.24278950,0.00003216,0.00000000,0.00000139
1019.40970485,0.75717508,0.24278693,0.00003614,0.00000000,0.00000185
1029.26463232,0.75717265,0.24278354,0.00004120,0.00000000,0.00000261
1039.11955978,0.75717065,0.24278044,0.00004552,0.00000000,0.00000340
1048.97448724,0.75716792,0.24277615,0.00005125,0.00000000,0.00000467
1058.82941471,0.75716516,0.24277147,0.00005711,0.00000000,0.00000626
1068.68434217,0.75716226,0.24276619,0.00006328,0.00000000,0.00000827
1078.53926963,0.75715916,0.24276012,0.00006988,0.00000000,0.00001083
1088.39419710,0.75715582,0.24275309,0.00007699,0.00000000,0.00001410
1098.24912456,0.75715166,0.24274362,0.00008580,0.00000000,0.00001892
1108.10405203,0.75714763,0.24273346,0.00009438,0.00000000,0.00002452
1117.95897949,0.75714342,0.24272179,0.00010338,0.00000000,0.00003140
1127.81390695,0.75713832,0.24270623,0.00011425,0.00000000,0.00004120
1137.66883442,0.75713345,0.24268965,0.00012467,0.00000000,0.00005223
1147.52376188,0.75712828,0.24267017,0.00013574,0.00000000,0.00006581
1157.37868934,0.75712286,0.24264751,0.00014736,0.00000000,0.00008227
1167.23361681,0.75711712,0.24262092,0.00015966,0.00000000,0.00010230
1177.08854427,0.75711101,0.24258950,0.00017276,0.00000000,0.00012673
1186.94347174,0.75710452,0.24255236,0.00018668,0.00000000,0.00015644
1196.79839920,0.75709762,0.24250847,0.00020147,0.00000000,0.00019245
1206.65332666,0.75709030,0.24245663,0.00021715,0.00000000,0.00023593
1216.50825413,0.75708254,0.24239542,0.00023376,0.00000000,0.00028828
1226.36318159,0.75707433,0.24232323,0.00025134,0.00000000,0.00035110
1236.21810905,0.75706566,0.24223818,0.00026992,0.00000000,0.00042625
1246.07303652,0.75705649,0.24213809,0.00028954,0.00000000,0.00051587
1255.92796398,0.75704683,0.24202049,0.00031023,0.00000000,0.00062245
1265.78289145,0.75703666,0.24188251,0.00033203,0.00000000,0.00074880
1275.63781891,0.75702594,0.24172090,0.00035497,0.00000000,0.00089819
1285.49274637,0.75701468,0.24153194,0.00037908,0.00000000,0.00107430
1295.34767384,0.75700286,0.24131141,0.00040440,0.00000000,0.00128133
