T [K],Y(N2),Y(O2),Y(NO),Y(N),Y(O),Y(NO+),Y(e-)
300.00000000,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
309.85492746,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
319.70985493,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
329.56478239,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
339.41970985,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
349.27463732,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
359.12956478,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
368.98449225,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
378.83941971,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
388.69434717,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
398.54927464,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
408.40420210,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
418.25912956,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
428.11405703,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
437.96898449,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
447.82391196,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
457.67883942,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
467.53376688,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
477.38869435,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
487.24362181,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
497.09854927,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
506.95347674,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
516.80840420,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
526.66333167,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
536.51825913,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
546.37318659,0.75720000,0.24280000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
556.22811406,0.75720000,0.24280000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000
566.08304152,0.75720000,0.24280000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000
575.93796898,0.75720000,0.24279999,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000
