T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, NO+, e-
1205.61, 0.755078, 0.231334, 0.000210257, 5.58263e-312, 1.2219e-08, 0.0133786, 0, 0, 0, 3.49719e-14, 0
1151.05, 0.755112, 0.231373, 0.000136318, 0, 3.76583e-09, 0.0133786, 0, 0, 0, 1.27116e-10, 0
1129.05, 0.755123, 0.231385, 0.000113166, 0, 2.27115e-09, 0.0133786, 0, 0, 0, 1.62945e-09, 0
1133.99, 0.755121, 0.231383, 0.000118158, 0, 2.55379e-09, 0.0133786, 0, 0, 0, 9.24543e-09, 0
1161.04, 0.755107, 0.231367, 0.000148117, 0, 4.71837e-09, 0.0133786, 0, 0, 0, 5.0163e-10, 0
1206.02, 0.755077, 0.231333, 0.000210893, 5.35725e-319, 1.23196e-08, 0.0133786, 0, 0, 0, 1.29444e-10, 0
1265.03, 0.755025, 0.231274, 0.000322623, 6.28819e-276, 3.90806e-08, 0.0133786, 0, 0, 0, 2.62453e-11, 0
1334.59, 0.754939, 0.231175, 0.000507537, 1.59725e-225, 1.337e-07, 0.0133786, 0, 0, 0, 1.33387e-11, 0
1411.59, 0.754804, 0.231021, 0.000795397, 3.64088e-178, 4.52539e-07, 0.0133786, 0, 0, 0, 6.9803e-12, 0
1493.29, 0.754607, 0.230795, 0.00121774, 3.4442e-135, 1.43729e-06, 0.0133786, 0, 0, 0, 4.0199e-12, 0
1577.43, 0.754334, 0.230481, 0.00180257, 3.09295e-95, 4.16565e-06, 0.0133786, 0, 0, 0, 7.16103e-12, 0
1662.14, 0.753976, 0.230065, 0.00256939, 2.71338e-66, 1.08984e-05, 0.0133786, 0, 0, 0, 7.31086e-13, 0
1745.96, 0.75353, 0.22954, 0.00352587, 8.5419e-38, 2.57265e-05, 0.0133785, 0, 0, 5.83716e-315, 6.33815e-13, 0
1827.76, 0.752997, 0.228902, 0.00466674, 9.10412e-14, 5.50806e-05, 0.0133785, 0, 0, 3.38576e-287, 6.26162e-13, 0
1906.63, 0.752387, 0.228153, 0.00597449, 1.27345e-10, 0.000107793, 0.0133785, 0, 0, 2.46767e-262, 6.96978e-13, 0
1981.91, 0.751711, 0.227294, 0.00742145, 3.94098e-10, 0.000194477, 0.0133785, 0, 0, 8.53344e-240, 8.63763e-13, 0
2053.08, 0.750987, 0.226335, 0.0089728, 1.06215e-09, 0.000326213, 0.0133785, 0, 0, 1.75963e-219, 1.17836e-12, 2.68266e-285
