T [K],Y(N2),Y(O2),Y(NO),Y(N),Y(O)
300.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
309.85492746,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
319.70985493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
329.56478239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
339.41970985,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
349.27463732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
359.12956478,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
368.98449225,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
378.83941971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
388.69434717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
398.54927464,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
408.40420210,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
418.25912956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
428.11405703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
437.96898449,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
447.82391196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
457.67883942,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
467.53376688,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
477.38869435,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
487.24362181,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
497.09854927,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
506.95347674,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
516.80840420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
526.66333167,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
536.51825913,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
546.37318659,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
556.22811406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
566.08304152,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
575.93796898,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
585.79289645,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
595.64782391,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
605.50275138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
615.35767884,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
625.21260630,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
635.06753377,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
644.92246123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
654.77738869,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
664.63231616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
674.48724362,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
684.34217109,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
694.19709855,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
704.05202601,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
713.90695348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
723.76188094,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
733.61680840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
743.47173587,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
753.32666333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
763.18159080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
773.03651826,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
782.89144572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
792.74637319,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
802.60130065,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
812.45622811,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
822.31115558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
832.16608304,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
842.02101051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
851.87593797,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
861.73086543,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
871.58579290,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
881.44072036,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
891.29564782,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
901.15057529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
911.00550275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
920.86043022,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
930.71535768,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
940.57028514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
950.42521261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
960.28014007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
970.13506753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
979.98999500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
989.84492246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
999.69984992,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1009.55477739,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1019.40970485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1029.26463232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1039.11955978,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1048.97448724,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1058.82941471,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1068.68434217,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
