T, N2, O2, NO, N, O, Ar, Ar+, N+, O+, NO+, e-
1205.61, 0.780699, 0.209399, 0.000202941, 1.15441e-311, 2.21203e-08, 0.0097, 0, 0, 0, 3.37579e-14, 0
1151.05, 0.780734, 0.209434, 0.000131575, 0, 6.81733e-09, 0.0097, 0, 0, 0, 1.22704e-10, 0
1129.05, 0.780745, 0.209445, 0.000109228, 0, 4.11149e-09, 0.0097, 0, 0, 0, 1.57288e-09, 0
1133.99, 0.780743, 0.209443, 0.000114047, 0, 4.62315e-09, 0.0097, 0, 0, 0, 8.92448e-09, 0
1161.04, 0.780729, 0.209429, 0.000142964, 0, 8.54174e-09, 0.0097, 0, 0, 0, 4.84216e-10, 0
1206.02, 0.780698, 0.209398, 0.000203555, 1.10781e-318, 2.23024e-08, 0.0097, 0, 0, 0, 1.24951e-10, 0
1265.03, 0.780644, 0.209344, 0.000311398, 1.30031e-275, 7.07481e-08, 0.0097, 0, 0, 0, 2.53342e-11, 0
1334.59, 0.780555, 0.209255, 0.000489879, 3.30289e-225, 2.42038e-07, 0.0097, 0, 0, 0, 1.28757e-11, 0
1411.59, 0.780416, 0.209116, 0.000767722, 7.52885e-178, 8.19238e-07, 0.0097, 0, 0, 0, 6.73798e-12, 0
1493.29, 0.780211, 0.208911, 0.00117537, 7.12213e-135, 2.60194e-06, 0.00969999, 0, 0, 0, 3.88034e-12, 0
1577.43, 0.779927, 0.208626, 0.00173985, 6.39578e-95, 7.54111e-06, 0.00969996, 0, 0, 0, 6.91242e-12, 0
1662.14, 0.779552, 0.208248, 0.00247997, 5.61084e-66, 1.97293e-05, 0.0096999, 0, 0, 0, 7.05701e-13, 0
1745.96, 0.77908, 0.20777, 0.00340312, 1.76631e-37, 4.6572e-05, 0.00969977, 0, 0, 1.05672e-314, 6.11799e-13, 0
1827.76, 0.778509, 0.207188, 0.00450415, 1.88251e-13, 9.97083e-05, 0.00969952, 0, 0, 6.1292e-287, 6.04395e-13, 0
1906.63, 0.777841, 0.206499, 0.00576606, 2.63305e-10, 0.00019512, 0.00969905, 0, 0, 4.46698e-262, 6.72718e-13, 0
1981.91, 0.777082, 0.205706, 0.00716198, 8.14799e-10, 0.000352003, 0.00969829, 0, 0, 1.5446e-239, 8.33632e-13, 7.5592e-322
2053.08, 0.77624, 0.204814, 0.00865806, 2.19574e-09, 0.000590374, 0.00969714, 0, 0, 3.18466e-219, 1.13712e-12, 1.41597e-280
2119.76, 0.775329, 0.20383, 0.0102169, 5.23131e-09, 0.000927919, 0.0096955, 0, 0, 4.29093e-212, 6.2156e-13, 2.21236e-247
2181.75, 0.774362, 0.202767, 0.0118014, 1.11758e-08, 0.00137702, 0.00969332, 1.39233e-304, 0, 8.04179e-195, 9.96296e-13, 2.08656e-217
2239.02, 0.773351, 0.201635, 0.0133796, 2.1708e-08, 0.00194359, 0.00969057, 1.21556e-270, 0, 3.03469e-168, 4.64084e-12, 1.82024e-191
2291.63, 0.772314, 0.200452, 0.0149218, 3.87718e-08, 0.00262477, 0.00968727, 3.56448e-252, 0, 6.81056e-154, 8.42974e-12, 4.08081e-171
2339.83, 0.771262, 0.199231, 0.0164097, 6.44536e-08, 0.00341341, 0.00968344, 4.78317e-248, 0, 1.18733e-150, 5.92266e-12, 1.32671e-153
2383.97, 0.770206, 0.197984, 0.017832, 1.00796e-07, 0.00429872, 0.00967915, 2.19058e-244, 0, 8.57181e-148, 4.343e-12, 3.15297e-138
2424.45, 0.769151, 0.196722, 0.0191834, 1.497e-07, 0.00526888, 0.00967445, 2.40063e-228, 2.28151e-303, 1.29577e-135, 8.97443e-12, 4.96474e-126
2461.69, 0.768104, 0.195451, 0.0204637, 2.129e-07, 0.00631268, 0.00966938, 1.30007e-225, 2.32824e-297, 1.7459e-133, 7.03119e-12, 2.89768e-114
2496.1, 0.767064, 0.194173, 0.021677, 2.92086e-07, 0.00742187, 0.009664, 3.6305e-198, 3.5887e-262, 6.08471e-113, 4.17426e-11, 2.4127e-107
2528.04, 0.766036, 0.192896, 0.0228244, 3.88505e-07, 0.00858537, 0.00965836, 3.13067e-196, 9.0505e-258, 1.68131e-111, 3.42555e-11, 2.41493e-98
2557.83, 0.765018, 0.191618, 0.0239126, 5.03619e-07, 0.00979806, 0.00965248, 2.00353e-194, 1.01711e-253, 3.48176e-110, 2.86105e-11, 3.45729e-90
2585.75, 0.76401, 0.190341, 0.0249464, 6.38747e-07, 0.0110548, 0.00964638, 9.64965e-181, 7.06976e-236, 3.70928e-100, 6.59373e-11, 2.15463e-85
